Player Name,Club,Position,Minutes,Goals,Assists,Shots,Shots On Target,Passes%,Conversion %,Touches_per90,Passes_per90,Shots_per90,Assists_per90,Goals_per90,Carries_per90,Progressive Carries_per90,Through Balls_per90,Crosses_per90,Tackles_per90,Interceptions_per90,Ground Duels_per90,Aerial Duels_per90,Saves_per90,Clearances_per90,Fouls_per90
David Brooks,Bournemouth,MID,949,2,0,25,4,84.0,17.0,56.04847207586934,151.83350895679663,2.3709167544783982,0.0,0.18967334035827185,44.193888303477344,26.174920969441516,0.18967334035827185,1.1380400421496313,1.327713382507903,4.836670179135933,8.914646996838778,10.621707060063224,0.0,0.8535300316122234,1.0432033719704954
Dean Huijsen,Bournemouth,DEF,2422,3,2,18,15,90.0,8.0,75.95375722543353,54.847233691164334,0.6688687035507844,0.07431874483897605,0.11147811725846407,15.681255161023946,8.398018166804295,0.18579686209744012,1.263418662262593,1.3377374071015689,0.9289843104872008,6.391412056151941,2.3781998348472335,0.0,7.208918249380678,1.151940545004129
Evanilson,Bournemouth,FWD,2335,0,1,73,5,93.0,18.0,24.282655246252673,62.942184154175585,2.8137044967880085,0.03854389721627409,0.0,14.993576017130621,7.708779443254818,0.23126338329764454,0.19271948608137046,0.6167023554603854,0.9250535331905781,4.586723768736617,2.119914346895075,0.0,0.8094218415417559,1.4261241970021414
Illia Zabarnyi,Bournemouth,DEF,3113,0,0,12,29,70.0,14.0,60.48185030517186,19.659492451011886,0.34693221972373917,0.0,0.0,7.025377449405719,4.221008673305493,0.37584323803405073,1.5901060070671378,1.503372952136203,0.26019916479280436,5.868936716993254,2.573080629617732,0.0,5.175072277545776,0.578220366206232
Julián Araujo,Bournemouth,DEF,497,0,0,0,0,0.0,0.0,51.24748490945674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8108651911468814,0.0,0.0,0.0,0.0,2.8973843058350104,1.267605633802817
Justin Kluivert,Bournemouth,MID,2356,0,0,63,21,80.0,17.0,44.96179966044143,19.1383701188455,2.4066213921901527,0.0,0.0,4.7750424448217315,2.7504244482173177,0.038200339558573854,0.42020373514431236,0.8786078098471987,0.22920203735144315,5.271646859083192,5.539049235993208,0.0,0.8786078098471987,1.7954159592529713
Kepa,Bournemouth,GKP,2790,0,0,1,0,0.0,0.0,38.61290322580645,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,3.129032258064516,1.1612903225806452,0.06451612903225806
Lewis Cook,Bournemouth,MID,2978,1,3,14,3,91.0,0.0,59.385493619879114,58.448623237071864,0.4231027535258563,0.09066487575554062,0.03022162525184688,11.816655473472128,6.074546675621223,0.06044325050369376,0.1511081262592344,2.447951645399597,0.39288112827400945,1.3901947615849564,2.508394895903291,0.0,1.9946272666218938,1.480859637340497
Marcos Senesi,Bournemouth,DEF,1108,0,0,3,16,79.0,17.0,74.5667870036101,36.227436823104696,0.24368231046931407,0.0,0.0,12.915162454873647,8.447653429602887,0.7310469314079422,2.7617328519855593,3.167870036101083,0.40613718411552346,8.772563176895307,1.7057761732851984,0.0,4.7111913357400725,1.7870036101083033
Marcus Tavernier,Bournemouth,MID,1938,3,5,57,5,81.0,6.0,60.51083591331269,27.352941176470587,2.6470588235294117,0.23219814241486067,0.1393188854489164,6.826625386996904,3.436532507739938,0.2786377708978328,0.46439628482972134,2.043343653250774,1.2538699690402477,5.1083591331269345,1.9040247678018576,0.0,0.4179566563467492,1.5789473684210527
Mark Travers,Bournemouth,GKP,450,0,0,0,0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.8,0.0
Milos Kerkez,Bournemouth,DEF,3342,2,5,19,61,74.0,22.0,60.96947935368043,31.104129263913826,0.5116696588868941,0.13464991023339318,0.05385996409335727,12.980251346499102,7.1095152603231595,0.5116696588868941,2.1005385996409336,1.400359066427289,0.24236983842010773,7.782764811490125,0.6193895870736086,0.0,2.666068222621185,0.0
Ryan Christie,Bournemouth,MID,2131,2,3,33,1,84.0,0.0,62.12576255279212,26.184889723134678,1.3937118723603943,0.12670107930549038,0.08446738620366025,5.828249648052558,3.1675269826372596,0.04223369310183012,1.7315814171750352,2.280619427498827,0.7179727827311122,5.068043172219616,0.9291412482402628,0.0,2.069450961989676,1.8160488033786955
Tyler Adams,Bournemouth,MID,1965,0,3,9,9,84.0,7.0,63.801526717557245,26.83969465648855,0.4122137404580153,0.13740458015267176,0.0,14.33587786259542,8.106870229007633,0.366412213740458,0.8702290076335878,3.8015267175572522,0.366412213740458,12.229007633587786,1.6030534351145038,0.0,1.6946564885496183,2.0610687022900764
Bryan Mbeumo,Brentford,MID,3415,20,7,85,23,84.0,9.0,50.46852122986823,15.759882869692534,2.240117130307467,0.18448023426061494,0.527086383601757,8.433382137628112,5.060029282576867,0.1054172767203514,1.4758418740849195,1.2913616398243044,0.07906295754026355,5.587115666178624,0.7906295754026355,0.0,1.3440702781844802,0.6588579795021963
Christian Nørgaard,Brentford,MID,2829,5,0,39,12,91.0,12.0,59.90455991516437,10.498409331919406,1.2407211028632026,0.0,0.15906680805938495,2.9268292682926833,1.4316012725344642,0.06362672322375398,0.12725344644750797,2.513255567338282,0.22269353128313893,2.576882290562036,1.2089077412513256,0.0,2.0360551431601275,1.3997879109225875
Ethan Pinnock,Brentford,DEF,1913,2,0,10,32,72.0,14.0,64.45373758494512,16.04286461055933,0.47046523784631467,0.0,0.09409304756926293,5.927861996863566,2.9168844746471514,0.18818609513852586,0.0,1.6466283324621014,0.047046523784631464,6.868792472556194,4.939884997386304,0.0,6.539466806063774,0.3763721902770517
Keane Lewis-Potter,Brentford,MID,3101,1,3,28,2,83.0,0.0,49.71622057400839,22.260561109319575,0.8126410835214446,0.08706868752015479,0.029022895840051594,5.195098355369235,2.6410835214446955,0.029022895840051594,1.1028700419219606,1.4221218961625284,0.928732666881651,4.150274105127378,1.3930990003224766,0.0,1.9155111254434054,0.5224121251209287
Kevin Schade,Brentford,MID,2301,0,2,55,0,85.0,0.0,38.29204693611474,40.599739243807036,2.1512385919165578,0.07822685788787484,0.0,5.084745762711864,3.0508474576271185,0.11734028683181225,0.9778357235984354,1.5254237288135593,0.469361147327249,3.6766623207301175,1.486310299869622,0.0,0.0,0.8213820078226858
Kristoffer Ajer,Brentford,DEF,1441,0,0,9,2,89.0,0.0,51.839000693962525,45.655794587092295,0.5621096460791117,0.0,0.0,8.868841082581541,3.9347675225537824,0.12491325468424705,0.8743927827897293,1.6238723108952118,0.18736988202637056,2.9354614850798058,0.9993060374739764,0.0,2.9354614850798058,0.8119361554476059
Mads Roerslev,Brentford,DEF,1096,0,0,5,5,89.0,0.0,55.01824817518248,99.6897810218978,0.4105839416058394,0.0,0.0,24.06021897810219,11.25,0.16423357664233576,4.352189781021898,1.478102189781022,1.9708029197080292,11.496350364963504,1.9708029197080292,0.0,2.545620437956204,0.4927007299270073
Mark Flekken,Brentford,GKP,3276,0,2,0,0,0.0,0.0,54.560439560439555,0.0,0.0,0.054945054945054944,0.0,0.0,0.0,0.0,0.0,0.10989010989010989,0.0,0.0,0.0,4.2032967032967035,1.2637362637362637,0.0
Mathias Jensen,Brentford,MID,852,0,2,6,0,0.0,0.0,63.48591549295775,0.0,0.6338028169014085,0.2112676056338028,0.0,0.0,0.0,0.0,0.0,1.4788732394366197,0.0,0.0,0.0,0.0,1.3732394366197183,0.7394366197183099
Michael Kayode,Brentford,DEF,528,0,0,2,0,0.0,0.0,57.44318181818182,0.0,0.34090909090909094,0.0,0.0,0.0,0.0,0.0,0.0,2.8977272727272725,0.0,0.0,0.0,0.0,2.8977272727272725,1.3636363636363638
Mikkel Damsgaard,Brentford,MID,2926,2,10,35,5,80.0,11.0,62.56322624743677,41.52426520847573,1.076555023923445,0.30758714969241285,0.061517429938482575,13.103212576896787,8.36637047163363,0.061517429938482575,4.060150375939849,2.552973342447027,1.3841421736158577,6.367053998632946,2.3684210526315788,0.0,0.0,0.5536568694463432
Nathan Collins,Brentford,DEF,3420,2,3,17,7,81.0,3.0,65.6842105263158,22.36842105263158,0.44736842105263164,0.07894736842105263,0.052631578947368425,6.921052631578947,4.105263157894737,0.026315789473684213,1.3947368421052633,1.0526315789473684,0.8157894736842105,6.473684210526316,1.8421052631578947,0.0,5.789473684210526,0.763157894736842
Sepp van den Berg,Brentford,DEF,2588,0,0,20,8,82.0,6.0,56.61514683153014,11.545595054095827,0.6955177743431221,0.0,0.0,6.329211746522411,3.0950540958268933,0.0695517774343122,1.4258114374034003,1.3562596599690881,0.2782071097372488,3.999227202472952,0.38253477588871715,0.0,4.55564142194745,0.7998454404945905
Vitaly Janelt,Brentford,MID,2266,1,3,14,2,82.0,0.0,52.546337157987644,18.78640776699029,0.5560458958517212,0.11915269196822596,0.03971756398940865,4.488084730803177,2.502206531332745,0.0,1.1120917917034423,1.5092674315975285,0.3177405119152692,3.6142983230361874,1.5887025595763458,0.0,1.9064430714916154,0.9532215357458077
Yehor Yarmoliuk,Brentford,MID,1442,0,0,9,43,79.0,21.0,63.4119278779473,35.13869625520111,0.5617198335644937,0.0,0.0,15.228848821081831,7.427184466019418,0.31206657420249656,1.2482662968099862,3.058252427184466,0.49930651872399445,12.295423023578364,4.119278779472954,0.0,1.9348127600554785,1.1858529819694867
